Görüş,Durum
Aile boyu ama aldığımız bir ürün Philips kalitesinden sasmayin emiş gücü ayrica çok iyi ??,Olumlu
kapağı biraz insanı gıcık ediyor onun dışında beğendim.,Tarafsız
Beğendim fakat biraz gürültülü onun dışında güzel,Olumlu
Urun kutuya dökülmüş vaziyette geldi,Olumsuz
"Çok beğendim  hemen ısınıyor çok güzel tost yapıyor, temizlemesi çok
kolay peçeteyle bile temizlenebiliyor almak isteyene tavsiye ederim",Tarafsız
"Raks PF 42 Dekoratif Avizeli Tavan Vantilatörü. kargo ürünü mağazaya
teslim etmiş.mağaza ürünü almadık siz kargodan teslim tutanağı getirin
ücret iaqdesi yapalım diyor. Kocaeli den izmir e gidip  kargodan teslim
tutanağını  alıp mağazayaibra edeceğim.Böyle bir mantık olurmu.Kargodan
almadıysanız teslim tutanağını kargodan sizin talep etmeniz  gerekir.",Olumsuz
Tefal marka olarak beğendiğim ve bildiğim bir marka ürün güzel ve kullanışlı ihtiyacı olanlara tavsiye ederim.,Olumlu
"Ütü harika, yorumlara bakarak bu modeli satın almaya karar vermiştim ama pişman olmadım yapışma vs olmuyor güzel ütülüyor, kireç dökülmüyor ve su damlatmıyor (ütü ısınmadan kullanırsanız su damlatır bu tüm ütüler için geçerli)
Biraz ağır ama satın almak isteyenlere tavsiye ederim. benim bundan önceki 2 ütümde Tefal'di 10 yıl kullanıyorum 10 yıl sonundaki arıza normal bu yüzden yeni ütü alıyorum Teşekkürler Tefal",Olumlu
SSD DEMEYE ŞAHİT LAZIM,Olumsuz
Kendinizi çok geliştirdiniz tebrik ederim Hizmet için teşekkürler,Olumlu
"teslim tarihi çok kötü, vaad edilen tarihte elime ulaşmadı,",Olumsuz
telefonu alalı birkaç gün oldu. şimdilik çözmeye çalışıyorum ancak alacak olanalara tavsiyem olsun amazzon'dan almayın. teslimatı tam bir rezaletti. para ödeyip hızlı kargo istedim. 24 saatte elimde olması gereken telefon geç geldi. üstüne kuryenin saçma sapan sözleri ve tavrına maruz kaldım. 3-5 lira fazla verin başka yerden alın. düzgün insanlarla muhattap olup paranızla rezil olmazsınız,Tarafsız
Askerde kullanıyordum ama çok kalın ve ağır ama kullanım olarak ve hızlı şarj olarak müthiş.,Tarafsız
200 decede bile 1.5 saatde pişirmiyor böregin yüzünü hiç kızrtmıyor hiç kimseye tavsiye etmem,Olumsuz
Beğendim 👍🏼👍🏼,Olumlu
"1 hafta önce beko yetkili bayiden aldım, üst sepet çok alçak, bardaklık düzensiz, alt sepete tencere tava sığmıyor nerdeyse tamamen yatırmak gerekiyor. Geniş aile iseniz ve tencere yıkanmak istiyorsanız 2 kere düşünün ben pişmanlık yaşıyorum şuan, 14 yıldır kullandığım beko bulaşık makinesi bundan kat kat rahat kullanımdı.",Olumsuz
Görüntüsü harika umarım performansıda öyledir,Olumlu
Öncelikle belirtmem gereken şey cihazın modern bir görünüşü şık bir dizaynı olduğu ve oldukça cüsseli bir yapısı olduğudur.Beğenmediğim şey ise internet bağlantısında kopmalar yaşıyorum ve can sıkıcı bir şekilde defalarca kere başıma geldi/geliyor.Anten çubukları sabit durmuyor kendiliğinden eğiliyor.Kendi adıma memnun olmadığımı belirtmeliyim.,Olumsuz
"Yaklaşık 10 gündür makinayı kullanıyorum ve söyleyebielceklerim şunlar:
Çok hızlı netleme yapıyor ve seri çekimlerde her hangi bir bulanıklık
yok.  Nfc ile çok hızlı dosya paylaşımı yapabilirsiniz yada telefonunuzu
kumanda gibi kullanıp fotoğraf çekebiliyorsunuz.  Pil çok çabuk bitiyor
yedek pil gerekli gibi.  pil şarj cihazı yok. yedek pil alınacaksa
harici şarj aletide sonradan alınması gerekli.  üzerinde 18-55mm sony
lens var fakat lensin kalitesini beğenmedim.  ürünün yanında verdikleri
çanta hiç bir şeye uymuyor çok küçük.",Tarafsız
"Tam 41 yıllık evliyiz,ilk gün bosch buzdolabı ve bulaşık makinası kullanmaya başladık.Enson 22 yıl evvel aldığım Bosch Bulaşık makinası artık yeter dayanamayacağım size dedi ve çalışmama kararı aldı,Bende öylemi bak ben seni yeni seri olan bulaşık makinası alayımda gör dedim.Bosch ZMSS45 MMOOT beş programlı bulaşık makinası aldım,yenilik herşeymiş süper bir yıkaması ile teşekkürler BOSCHM",Olumsuz
hafif tutuş isteyenler için birebir.,Tarafsız
Tereddütsüz alabilirsiniz çok kararsizdim iyiki almisim canavar gibi teşekkürler tekrar,Olumlu
"ürünü dün sipariş verdim.Anneler gününe yetişmez diye düşünüyordum.Ama
ürün bugün elime ulaştı.Paketlenmesi çok iyiydi hiç bir sıkıntı
yok.Ilginiz için tesekur ederim.",Olumlu
Kısa sürede bozuldu.,Olumsuz
Aldim ama saci mat yapiyor ve pek bi ise yaradigini söyleyemicem... Tavsiye etmiyorum,Olumsuz
Mükemmel bir ürün çok memnunum,Olumlu
"ürün harika eşime almıştım süperbi telefon heryönden harika kullanması kolay bir çok ihtiyacınıza karşılık veriyor. ayrıca birde d-market güvencesi eklenince değmeyin bana, yalnız biraz kalın bir telefon ama olsun hergüzelin bir kusuru vardır",Olumlu
Kablosu kaliteli gerisi çöp şarj makinenizi bozuyor  olabilir dikkat edin,Olumsuz
1 yıldır kullanıyorum.Ürünün emiş gücü güzel fakat halı süpürürken süpürge ucundaki tekerlek kırıldı ayrıca hortumun dik yerleştirildiği  plastik kısım aşındı  hortum sürekli düşüyor.,Tarafsız
"ses cokmkotu patlamalar yapuıyor ıcınde kı metal kulaga gecıyor

hıc anlatıldıgı gıbı degıl hayal kırıklıgı",Olumsuz
Iyi ürün ve hızlı kargo tşk hepsiburada ailesine,Tarafsız
jabra T65 kullaniyotdum kaybedinxe bu kulakliklari siparis ettim . Ama maalesef Jabra jaliteyi dusurmus. Sol kulaklik zaman zaman bavlantisi kopuyor. Iade ettim . Satici amazzon oldugundan icim rahat . Tesekkurler amazzon,Olumsuz
"Evet teşekkürler ürün anlatıldığı gibi sadece kargo sıkıntılıydı ürün 1
hafta içinde elime ulaştı çok geç geldi.",Olumlu
Sesi çok yüksek tavsiye etmiyorum,Olumsuz
Şimdilik sorun yok. Kullanışlı. Dış yüzey çok ısınıyor.,Olumlu
ürün güzel anlatıldığı gibi güzel,Olumlu
Eksiksiz gayet hızlı bir şekilde ürünümüz elimize ulaştı.Teşekkürler,Olumlu
"Alalı 4 ay oldu ama malesef eşimin dediğine göre ilk günkü gibi iyi
kahve yapmıyor. Servise vercez",Olumsuz
Olumsuz yönleri: Aynı gün kargoya verilir yazıyor kargoya verilmedi.  Aynı gün vermeyeceksiniz neden aynı gün kargo yazıyorsunuz ona göre plan yapıyoruz,Olumsuz
"26.6 GB görebiliyorum. Normalde 32gb'da 30gb görmem gerekmiyor mu? neden
bu kadar düşüğünü görüyorum anlamadım.",Tarafsız
ürünüm geldi kısa sürede ama hep çizikler var üzerinde deforme olmuş. rengi de görseldeki gibi değil kesinlikle lila gibi duruyo ilk defa üzdün beni trendyol 😐,Olumsuz
"icloud backup yerine kullanmak için aldım fakat sadece resimleri backup yapabiliyorsunuz. icloud yerini kesinlikle alamıyor. o kadar para vermeye değmez, google photos bedava back up yapıyor zaten.",Tarafsız
"Ürün elime 5.gün oldu geleli geldiği gün kapı yönünü değiştirmek istedim
yanlış bağlantı oldu hemen fişini takıp denemedikleri için geç fark
ettim ekran ışıkları yanmıyordu bunun için 3 gün bekledim 2 çalışıyor
fakat buzdolabımın dondurucusunda attığım ürün taş gibi derin
dondurucuda ise hala ezilebilir halde yumuşak çekmeceleri öZellikle en
alt yok deseniz daha iyi küçük üstte 2 hızlı bölme var kaldı 4 bölme
biri sadece büyük çok iyide diyemem kötüde alacak arkadaşlara yardımcı
olması açısından yazıyorum iyice düşünün derim 👍🏻",Tarafsız
biraz ağır ama çok güzel,Olumlu
"Ürün de sıkıntı yok güzel ama MNG kargo 5 gün sonra alabildim ve şubeye
ulasamiyordum merkezden şikayet ederek alabildim.",Olumsuz
yorumlardan ve tartışmalardan okuduğum kadarıyla sarj aletinin gelmeyeceğini tahmiş etmiş ve nokia telefonum olduğu için yine de almıştım.  sarj aletiyle birlikte geldi. Hiçbir sorun yok fakat gürültü temizleme özelliği yok onun haricinde tavsiye ederim.Menzili 10 metre.Kulağa da rahat oturuyor. Çok fonksiyonlu bir düğme var bütün işlevleri ondan rahatlıkla hallediyorsunuz.,Tarafsız
beğendim iş görür,Olumlu
Kullanılabilir normal özelliklerde bir fırın.Avantajı ise 3 yıl garantili olması.,Tarafsız
akü yok şarj aleti yok o aparatlar üründen daha pahalı teşekkürler,Olumsuz
"06.02.2020 perşembe günü öğleden sonra sipariş verdim, 07.02.2020 cuma sabahı teslim aldım. Ürün, fiyat performans oranı süper. Ayrıca emiş gücü çok kuvvetli bir ürürn.",Olumlu
ÇOK GÜZEL TABİKİ ÇEKİŞ GÜCÜ KUVVETLİ DERİMİ TUTTUMU AYIRMAYA KUVVET UYGULUYORSUNUZ BİRAZ SESLİ BİLGİNİZE SESSİZ DEİL AMA KULLANIS OLARAK TASARIM YAPMISLAR TEKERLEKLERİ DAHİ OLSUN SADECE DEVAMLI VEYA 2 GÜNDE Bİ SUYUNU TEMİZLEMENİZ LAZIM YOKSA KOKUYOR AMA SÜPÜRÜKEN ARTIK ARKANDAN TOZ BIRAKMIYOR Bİ YERDEN TEMİZLERKEN EN ÖNEMLİSİDE BU ASLINDA BİDE MOBİLYALARA GİDEN TOZ DERDİ YOK YAZDIGIM GİBİ KULLANILABİLİR ÜRÜN... GÜLE GÜLE KULLANIN,Olumlu
Bu zaman kadar en güzel ve kullanışlı çaycı kesinlikle bu mükemmel sağlam ve uzun yıllar kullanabilirsiniz tavsiye ederim,Olumlu
"Homend Royal Tea 1709'u 3,5 yıl önce ilk aldığımda diğer çay makinalarından çok daha yüksek bir ücret ödedim, ama daha garantisi dolmadan 1,5 yıl içinde en alt kısmından arıza verdi, servise gönderdim. Servis, 100 TL verdiğim takdirde yenisini göndereceklerini söylediler. O ürün de şimdi yine aynı yerden tekrar arıza verdi. Müşteri hizmetleriyle görüştüğümde, ikinci kez değişim yapılan ürünlerin garantisinin 6 ay olduğunu ve tekrar ücret talep edileceğini, başvuracağım başka hiçbir yer olmadığını söyledi. Sonuç olarak 3,5 yıl içinde iki ürün de arızalı çıktı.  Şu an tekrar servise gidecek. Güvenilir sandığım bir firmanın ürününe sahip çıkmaması beni hayal kırıklığına uğrattı.",Olumsuz
Beğendim Allah razı olsun,Olumlu
daha iyisi alınmalı tek motor yeterli gelmiyor... sitede 90w x2 denmiş yanlış 3 kademe hız ayarı yanlış 2 kademe bilginiz olsun,Olumsuz
Çakmak biri çalışmıyor paketleme iyi güzel ama onun için ne yapmamız gerekiyor,Olumsuz
Hayır beğenmedim. Beklentimizin çok altında çıktı...,Olumsuz
"arkadaşlar saç trasini yaptım yigenimin berbat ötesi. kesmiyor resmen yoluyor saçı. sakalda denedim idare eder bıyıkları inceltemek istedim abartısız 10 dakikada anca alabildim hepsini, kesmiyor arkadaş sorun Bendemi bilmiyorum ama ürünün bıçakları ,sert saç sakalda çok yetersiz kalıyor ben ürünü buradan almadım en yaygın AVM lerden birinden aldım. zaten o gün o ürünü orada görmeseydim yine buradan alacaktım sepetimdeydi :) çok birşey beklemeyin yani dostlar üç beş kağıt daha fazla verip daha iyi ürünler bakın derim. kalın sağlıcakla...",Olumsuz
"Cihaz cok yavas ama bu fiyata baska olmaz sikinti yok diyenler alabilir
kargo paketleme gayet iyi ve hizli",Tarafsız
Çok seslii,Olumsuz
"Ürün güzel fakat mağaza çok özensiz. Paketi streçliyim kargoya
vermişmürün hasarlıydı. Yavsiye etmiyorum mağazayı. Pişmanım.",Olumsuz
Türk malı olduğu için almak istedim ama malesef nabız ölçer yok. :(,Tarafsız
Her zaman rahatça kullanılabilecek ruj değil .. Sür çık dışarı bir ruj asla değil ..  araştırmadan almıştım  . Bir arkadaşta qörüp  onda qüzel qözükmüşdü qözüme .. pişman oldum  .. Güzel bir makyajla  bu rengi kullanabilirsiniz ancak . Herkesin  kullanacağı bir renk hiç değil .,Olumsuz
"cok begendim,bu fiyata göre gayet guzel",Olumlu
"Çok araştırıp yorumlara ve tanıtımlara dayanarak bataryası başta olmak üzere diğer karşılaştırdığım özellikleri o fiyata alınacak en iyi telefon gibi düşünsem de batarya sözde normal kullanımda 2 gün gidiyor dense de bir günü bile çıkarmıyor, ekranın kavisli olması da görüntülerin kaymasına sebep oluyor, dolum hızı iyi, ısınma orta seviyede ara yüzü çok sade, fotoğraf kalitesi ortalama, konuşmalar da takılmalar oluyor, tutuş.şeklnde özellikle kılıfla parmağınızı acıtan sert bir.yapısı var vs.. kısaca tasarımı ve ekranı güzel ama bir çok olumsuz yönüyle pek beğenmedim.",Olumsuz
Hayır gördüğüm gibi değil,Olumsuz
Çok bir beklentiniz olmasın dublex dağirede oturuyorum çekim gücü değişir diye bunu aldım ttnetin verdiği modemden bi farkı yok sadece misafir girişi ve kontrolü güzel gerisi boş üç anten ne işe yarıyor boşuna koymuşlar !!!,Tarafsız
"Ürünü çok beğendim rengi olsun 1000w çalışması gayet güzel neden bidaha
Arzum son ve 3 yıldız. Resimlerde görünen kilit aparatı o kadar dandik
ki anlatamam blender oturuyorsunuz kilit için yanındaki parçalayıcıyı da
takıp kitlemeniz lazım ama bende kitlenmiyor oturmuyor çok denedik
uğraştık olmadı sonra blender çıkartıp beyaz kititi kendi elimle
kaldırdım çalıştı. Şimdi diyeceksiniz ki sen beceriksizsin bizimki kıtır
kıtır çalışıyor oturuyor güle güle kullanın ama benim robot şuanda
serviste ve servisteki çalışanlarda oturtamadı, daha öncede süpürge
aldım kablonun hepsini sarmıyor.",Tarafsız
"Özellikle turkuaz renk sipariş etmiştim. kırmızı geldi, bunun dışında gayet iyi",Tarafsız
ürünü almayı düşünüyorum. güzel görünüyor.,Olumlu
Faydalı bir ürün ancak ürünün hazne kısmı çatladı.  Nasıl temin edebilirim?,Olumsuz
Cok dandik bi ürun,Olumsuz
ürür gayet hijyenik ve ergonomik,Olumlu
"Öncelikle evet çekim gücü çok iyi. Daha önceki süpürgemiz de philipsti, onun da çekim gücü iyiydi buna laf yok. Ama ev kadınları evi hobi olsun diye süpürmüyor. Genelde iki ayağı bi papuçta temizlik yapıyor oluyoruz. Ve inanın bu makine asla ergonomik değil. inanılmaz ağır, büyük ve hantal. İşi zorlaştırıyor. Bir de makineyi anlamsızca süslemişler. Borusunda fırça var ve kapanabilen bişey değil. Elinizle tuttuğunuz yere yakın. fırçanın telleri bükülüyor. 1 yıla ne durumda olacağı şimdiden belli. Ben direkt internetten inceleyip aldım. Gidip görme fırsatım olsaydı asla almazdım. Keşke denemeden geri gönderseydim, çok pişmanım. Gerçekten asla almanızı tavsiye etmem. Burada marka yazmak doğru değil ama bu paralara işinizi kolaylaştıracak, hafif, pratik ürünler var. Onları incelemenizi öneririm. İllede philips alacaksanız bu modele inanın hiç gerek yok dörtte bir fiyatındaki basic modellerine bakın derim nacizane",Olumsuz
Olumlu yönleri: ürün gayet güzel,Olumlu
"Bu üründen 2 yıl önce almıştık. 
Genel olarak güzel bir makina. Filtre değişimlerini ve temizliğini düzenli yaparsanız çekiş gücünde sıkıntı yaşamazsınız. Sorun nedir peki: bizim yaşadığımız sorun kumandanın olduğu sapın kırılması. Bu ve benzeri sap boru hortum vs sorun yaşatırsa bunlar garantiye girmiyormuş. Ücreti mukabilinde alın diyorlar. Sadece tutma sapı 125-150 arası.. 
Hadi aldınız ömrü ne kadar olacak bu da belirsiz.",Tarafsız
ürün çok iyi.  tavsiye ederim,Tarafsız
cihazla adaptör geliyor fakat şarj çok çabuk bitiyor,Tarafsız
"hizli teslimat (2 gunde eve geldi), kaliteli ve uygun fiyatli urun. tesekkurler :))",Olumlu
hizli ve guzel bir cayci,Olumlu
Gelen ürün kırıktı. Kesinlikle almayın!,Olumsuz
Olumsuz yönleri: Elektrik kablosu kısa. Buhar yetersiz.,Tarafsız
çok iyi ve oldukca guzel bir urun.tavsiye ederim,Olumlu
Almak istiyorum harika bir ürün bir tane var bir tane daha alacağım,Tarafsız
Olumlu yönleri: kablosunun uzunluğu koca odayı köşe bucak temizlemenizi sağlıyor. Çok kolay içini temizleyebiliyorsunuz. Ben önce anneme almıştım. Sonra atölyem için kendime aldım. ikimiz de çok memnunuz. Hiç düşünmeden alın derim,Olumlu
S11 turbo spyros  novacom  aldım  1 sene kullanamadım  aldığım yere götürdüm bunun tuneri yanmış dediler ve baya bir masraf çıkar dediler servise giderse bence hiç almayı novakom aklınızda yer edin,Olumsuz
"hayal kırıklığı 🙁 18 Eylül 2018 de teslim almıştım, 3 sefer kullandım 15 Nisan 2019 da bozuldu, bakalım yapılabilecek mi?😒",Olumsuz
kulaklık kaliteli fakat ilk belirtilen uçuk fiyat kesinlikle uçuk bir fiyat yani 250 liradan düşmüş diye şaşırmayın piyası 120 140 arasında. Teslimata gelince yurtiçi kargo artık hızlansa iyi olur,Tarafsız
"bence idare eder. gramajı küçük olsa da küçük bir dokunuş yetiyor yapış yapış değil, kokusu çok hafif yani kokusu rahatsız etmiyor fondotenden önce sürünce garip durmuyor",Tarafsız
Ha yatımda bu kadar bır kotu marka gormedım .Hele servıs berbat sakın almayın,Olumsuz
Ürünü çok uygun fiyata aldım ve çok memnunum herkese tavsiye ederim,Olumlu
Eh işte idareten alayım diyorsanız iyi. Bi buçuk yıl ancak gidiyor. Eskisi bozuldu o yüzden tekrar aldım.,Tarafsız
"note3 telefonum var ikisi ile aynı anda kayıt yaptım, bu kamera cep telefonumdan biraz daha net görüntü verdi, titreşimn engelleme modu daha iyi, zum süper ama zum yapınca görüntü kalitesi gidiyor, görüntüde noise oluyor. benim telefonumdan olan kişiler için eğer zum önemli değilse hiç almayın. kompak fotoğraf makineleri ile aynı görüntü kalitesini veriyor.",Olumsuz
"Makine güzel fakat ses yapıyor biraz, fiyat/performans açısından güzel makine.",Tarafsız
Olumlu yönleri: fiyatına göre iyi,Olumlu
öncelikle hepsi burada.com ailesine teşekür ederim. kaliteli alış verişin adresi bugüne kadar aldığım ürünlerin hepsi fotosu ve özellikleri ne ise birebir elime geçti. vr box a gelince lensleri çokta iyi sayılmaz görüntüyü biraz şaşı gösteriyor ama lens ayarlarını iyi yaparsanız bu sorunu en minimum seviyeye indirip kullanabilirsiniz.. benim asıl sorunum kumandada oldu kumandayı tlfa bağladım fakat oyunlarda yada videolarda istediğim verimi alamıyorum. sağa sola yada döndüremedim. videoyu ileri geri saramıyorum. ekranda sadece mause imleci var oda bişeye yaramıyor. biraz daha kurcalayım olur işlh.,Tarafsız
Çok kötü ılk once çok guzel alıyordu sonra hıç çekmıo hıç memnun deılım ığrenç rowenta,Olumsuz
Arastirma süreci aylarca sürdü alim süresi alim süresi 5 dakika siddetle tavsiye ederim. HDR olaya nokta koymus tesekkürler Samsung,Tarafsız
basit bir kuruluma sahip sozde cihaz 2 saat ugrasmam ile anca wifi alanini genisletebildim kutudan cikan kilavuz hic alakasi yok alacak kisiler 1 kere daha düşünsün,Olumsuz
Çeyizim için aldım ve denemek için ilk çayımı içtim harika hiç ağır değil ve çok sşık,Olumlu
"Ürün çok kısa sürede elime ulaştı. Bu konuda mazağayı tebrik ederim. Ama
gelen faturada 50.68 tl yazıp benden 60 lira kesmiş olmaları sinirimi
bozdu. Bu da demek oluyor ki kargo parasını bizlere ödetmiş oluyorlar.
İşin çakallığına vurmuşlar. Bu kurnazlığı fark etmedik sanmasınlar.
Ürünle ilgili bir sıkıntı yok.",Olumlu
Ütüyü beğendim ele hoş ele hoş ki kırışıklar görse bile saygıdan dümdüz oluyorlar.,Olumlu
Olumsuz yönleri: Sakin dusmeyin bu tuzaga ben dustum siz dusmeyin toplama cihaz gonderiyorlar 1 ayda bozuldu tel tamire goturdum bu toplama cihaz dedi sok oldim,Olumsuz
"ilk denememizde gayet güzel fakat dedikleri gibi yaklaşık 30-40 dk sürdü(kuzu  şiş )
su haznesine sulu çalıştırdık kesinlikle duman yapmadı koku bile yapmadı (su biterse hemen ekleyin yoksa duman yapıyor)
piknik imkanı her an olmayanlar için nefsi köreltmek için bence çok iyi .HERKESE TAVSİYE EDERİM 
AFİYET OLSUN",Olumlu
Tesekkurler ürün u teslim aldim hayırlı satislar,Olumlu
Gayet iyi ve kullanışlı,Tarafsız
çok güzel beğendim teşekkür ederim,Olumlu
normal evde de aynısından var fakat gövdesi camdan bunda plasdikden,Olumsuz
Çok memnun kaldım çeyiizm için almıstım ama kullanıyorum baya memnunum,Olumlu
çırpma karistirma olarak iyiydi sessizdi ama motoru 3 yil olmadan yandi ve tamiri cok pahali mecbur çöpe gidecek.blender icin cubuk blender alin bu kullanisli değil,Olumsuz
"Almayın.
Kapaksız geldi. Spreyin bir kısmı paketin içine dökülmüş ve paket ıslaktı. Kapak düşmemiş kapak hiç yoktu üründe.",Olumsuz
Ses kalitesi muazzam. Film izlerken müzik dinlerken mükemmel bir hizmet sunuyor ürün ancak telefon görüşmeleri için çok kötü. Gerçekten kötü. Ses filtreleme olmadığı için konuşan kişiden ziyade dış sesleri duyuyorsun. Sesin net gitmiyor karşıya. Arkadaşım ile beraber aldık ve ikimiz de aynı durumu deneyimledik. Açıkçası yüzde elli memnun kaldıysam yüzde elli de aldığıma pişmanım. Telefon görüşmesi için kulaklık arıyorsanız kesinlikle başka ürünlere yönelin.,Tarafsız
"Kesinlikle çok beğendik,tavsiye ederiz.",Olumlu
amcama aldık servis köye getirdi  kurdu makinayı güzel  herkeze tavsiye aderim,Olumlu
ürün gelemediği için (yürüse daha hızlı gelirdi) değerlendiremiyorum. ama diğerlendirini - * la değerlendirdim bile,Olumsuz
"Ürün hızlı bir şekilde elime ulaştı fakat mikserin ucundaki metal aparatlar çok ince ve kırılıverecekmiş gibi duruyor.Tefal gibi bir markaya yakıştıramadım.Çalıştırdığımda da motor gücü biraz zayıf geldi.Tefalin tencere,tava,küçük ev aletlerini sürekli alırım fakat ilk defa aldığım bir ürününden memnun kalmadım.",Olumsuz
is yerim için aldım sorunsuz ve gayet hızlı bir şekilde geldi tavsiye ediyorum,Tarafsız
Meyvenin yarısını sıkıyor yarısını sıkmıyor. Beğenmedim ürünü,Olumsuz
Vestel buzdolabı aldım sıfır arizali cikti  fabrikadan nasil musade ederler arizali ürüne  yazıklar olsun,Olumsuz
"kaliteli uygun fiyat, tesekkurler trendyol.com",Olumlu
ÇOK SU AKITAN BIR ÜTÜ,Olumsuz
Bugün aldım güzel gözüküyor.Kaliteli duruyor kullandıkça sorun çıkacak mı bakacağız,Olumlu
DVD oynatıcı yok ama özellikle rde olduğu söyleniyor bilginize. Onun disinda fiyatına göre bı ürün çok beklentiye girmeyn,Tarafsız
Cekim gucu iyi diye aldık hic iyi degil iade etmek istedim kabul etmediler hem pahalı hem bir ise yaramılan bir urun almayın sakın.,Olumsuz
"Daha önce philips kullanmadığımdan tereddüt etmiştim ama çok güzel
sessiz ve emiş gücü mükemmelmiş. teşekkürler",Olumlu
"Ürün elime kısa süre içerisinde ulaştı, teşekkür ederim. Fakat sıvı olması gerekirken jel yapısında geldi, şişe ucundan aplikatöre akmıyor. Son kullanma tarihi 2019, dolayısıyla iyimser bir yaklaşımla soğuk havadan dolayı olmuştur diye düşündüm. Etkisinden bahsetmek için henüz çok erken.",Olumsuz
ilk çiktiği yil aldim. kesinlikle verdiğim her kuruş helal olsun.zaman gectikce simdi daha pahalı siz düşünün aile telefonu,Olumlu
Ürünü çok beğendim elinize aldığınız da size kaliteli ve güvenilir olduğu hissini veriyor. Çok güçlü motoru var turbo özelliği harika buz kıra bilen 3 bıçaklı blendırı  çok tatmin edici. Kilit sistemi çok güzel. Garantisi içerisindeydi. Kargo da hem hızlı geldi hemde  çok güzel paketlenmişti.,Olumlu
bukadar hızlı gelcegini beklemiyodum. Ürün çok guzel beklentimi sonuna kadar karsiladı bu fiyata bukadar iyi olmasi guzel tesekkurler,Olumlu
Gövdesi çok ısınıyor. Kullanımı kolay.,Tarafsız
"göründüğünden küçük, sesi çok yuksek çıkmıyor ama temiz",Tarafsız
08.04.2020 elime geçti cızırtı sorunu var,Olumsuz
"ÜRÜN İYİ, KARGO İYİ",Olumlu
4 gündür kullanıyorum beklediğim gibi çıkmadı,Olumsuz
"Ürünün gerçek olduğundan şüpheliyim. Elimde biten şişe ve yeni gelen
siparişimde yazı boyutları farklıydı. I am not sure it was original. I
just finished one bottle. The punto of the text which  i have just
finished is smaller then i have just bought",Tarafsız
"Makineyi 2-3 yıl önce kendimize ve bir çok arkadaşımıza alınmasına
vesile olduk.. Dolayısıyla makina çok güzel ve on numara.. şimdi ise
peder ve valideye aldım.. onlarda şuan da kullanıyorlar ve çok
memnunlar.. ve sürat kargo ile 3 günde teslimat..",Olumlu
Kesinlike dolandırıcılık,Olumsuz
çok güzel bir ürün,Olumlu
Hoş ve şık bir ürün bayadır kullanıyorum ve hiç bir sorunla karşılaşmadım cidden çok memnun kaldım,Olumlu
"Ürün bas anlamında fena değil ama ses kalitesi düşük,bütçe arttırarak
daha iyisini almanızı tavsiye ederim.birde radyolu zannettim radyosuz geldi.",Tarafsız
Ürün göründüğü gibi geldi ama daha kullanmadım ceyizime koydum insallah performans olarak da güzeldır,Olumlu
kargo hariç genel olarak iyi,Olumsuz
biraz hd konusu düşündürücü ama iş görüyor iş görsün derseniz alabilirsiniz ama performansı biraz düşündürücü kanal geçişleri biraz yavaş menüsü biraz karışık bunları bilerek almakta fayda var,Tarafsız
ürün teslim alındıktan sonra ezik vardı,Olumsuz
"valla üründen bir sürü aparat çıktı bu fiyata bu performans çok iyi.
üründe hızlı geldi",Olumlu
Hortumları kötü onun dışında çok hafif ve pratik günlük kulağım için şarjli süpürgelerden çok iyi,Olumlu
Hiç koku çekmiyor uzaktan kumandalı.,Olumsuz
ürünü yaklaşık 4-5 kere çalıştırdık ama plastik kokusu bir türlü geçmedi,Olumsuz
Ürünün tasarımı mükemmel fakat bilgisayara takınca aşırı ısınıyor,Tarafsız
"Yorumlara bakarak aldım ama tek farkı 3000W olması. Yine de fiyatına
göre fena değil",Tarafsız
Şarj süresi 2 günü geçiyor . Özelliklerine göre fiyatı da uygundu . Şık ve zarif bir telefon. Yaklaşık 3 haftadır kullanıyoruz ve gayet memnunuz. Türkiye garantili olması da ayrıca güzel. Ama bir sorun yaşayacağımızı sanmıyorum. Tavsiye edilir 👍,Olumlu
lg g3 gibi telefonlarda denerseniz eğer muhtemelen telefonunuz kayarak dışarı çıkacaktır. aparatın üstündeki süngerlerde kaymaya engel olmuyor. telefon sıkıştırma mekanizması kısca işlevsiz telefonunuza zarar veriyor.,Olumsuz
"Olumlu yönleri: genel olarak iyi ama boschun BlenderSilentMixx 800 W almayı tercih ederdim.
Değişim yapmayı dilerdim lakin nasıl çalıştığını görmek için denedim.Kısmet",Tarafsız
"Geçen hafta başka bir siteden aldım, köşelerden yamuk çıkınca iade ettim. Geldim amazzon'dan aldım, bunun da hem köşeleri hem de camı yamuk geldi.  Yamuk derken ön panelle kasa oturmuyor, kasanın köşelerinin şekliyle ön panelin şekli yamukluktan tutmuyor. İleride oradan sızan sıcak havadan köşeler simsiyah olacak.  Camın da sağı tam otururken solunda 5mm boşluk kalıyor. Simfer eğer bu fırınları bilhassa yamuk üretmiyorsa şayet daha sağlam bir kutu yapmak üzerine çalışmalı bence. İkide iki defolu ürün olacak iş değil.",Olumsuz
Ürün elime 1 günde ulaştı. Telefondan çok memnunum sitede çok güvenli teşekkürler.,Olumlu
kesinlikle çok kullanışlı ablamın tavsiyesi üzerine aldım.,Olumlu
"Ürünün rengi gorseldeki gibi değil ,çok daha güzel. parlak füme bi rengi
var. kullanımı rahat ve hafif tavsiye ederim.",Olumlu
Kötü hiç begenmedim,Olumsuz
